gene_id,length
XP_040938817.1,766
XP_040938818.1,766
XP_040938819.1,766
XP_040938820.1,738
XP_040938821.1,738
XP_040938825.1,302
XP_040939788.1,470
XP_040940404.1,1587
XP_040940405.1,1586
XP_040940406.1,1545
XP_040940407.1,1545
XP_040940870.1,297
XP_040940871.1,297
XP_040940872.1,297
XP_040940873.1,297
XP_040940874.1,297
XP_040940875.1,297
XP_040940876.1,297
XP_040940956.1,474
XP_040941005.1,174
XP_040941236.1,522
XP_040941737.1,302
XP_040941890.1,250
XP_040942068.1,387
XP_040942584.1,175
XP_040943455.1,306
XP_040944118.1,279
XP_040944162.1,301
XP_040944990.1,290
XP_040945844.1,514
XP_040946800.1,288
XP_040946801.1,288
XP_040946802.1,288
XP_040946803.1,288
XP_040946804.1,288
XP_040946805.1,288
XP_040946806.1,288
XP_040946807.1,288
XP_040946808.1,288
XP_040946809.1,288
XP_040947106.1,279
XP_040947107.1,278
XP_040947108.1,266
XP_040947109.1,233
XP_040947110.1,232
XP_040947820.1,331
XP_040948044.1,250
XP_040948862.1,583
XP_040949120.1,1026
XP_040949121.1,1026
XP_040950395.1,284
XP_040950420.1,325
XP_040950558.1,556
XP_040951818.1,306
XP_040952035.1,555
XP_040952036.1,648
XP_040952195.1,476
XP_040952376.1,228
XP_040952714.1,317
XP_040952964.1,291
XP_040952965.1,249
XP_040952975.1,283
XP_040953360.1,209
XP_040953871.1,307
XP_040953952.1,208
XP_040954217.1,296
XP_040954930.1,261
XP_040955220.1,318
XP_040955221.1,275
XP_040956171.1,277
XP_040956273.1,289
XP_040956288.1,545
XP_040956544.1,484
XP_040956545.1,484
XP_040956546.1,484
XP_040958464.1,354
XP_040958620.1,170
XP_040958638.1,315
XP_040958878.1,352
XP_040959468.1,1720
XP_040959922.1,290
XP_040960044.1,317
XP_040960145.1,383
XP_040960281.1,484
XP_040960721.1,482
XP_040961005.1,248
XP_040961034.1,197
XP_040961228.1,306
XP_040961293.1,228
XP_040961294.1,224
XP_040961417.1,310
XP_040961905.1,729
XP_040961906.1,729
XP_040961907.1,729
XP_040961908.1,729
XP_040961909.1,729
XP_040961952.1,413
XP_040961953.1,413
XP_040961954.1,413
XP_040961955.1,413
XP_040962682.1,765
XP_040962683.1,765
XP_040962684.1,765
XP_040962685.1,765
XP_040962686.1,765
XP_040962687.1,765
XP_040962688.1,765
XP_040962689.1,765
XP_040962690.1,765
XP_040962691.1,765
XP_040962692.1,765
XP_040962693.1,764
XP_040962694.1,741
XP_040962695.1,736
XP_040962696.1,736
XP_040962697.1,736
XP_040962698.1,736
XP_040962699.1,736
XP_040962700.1,726
XP_040962701.1,712
XP_040962702.1,712
XP_040962703.1,712
XP_040962704.1,702
XP_040962705.1,697
XP_040962706.1,697
XP_040962710.1,673
XP_040962711.1,673
XP_040962712.1,766
XP_040962713.1,766
XP_040962714.1,766
XP_040962715.1,738
XP_040962716.1,738
XP_040962717.1,738
XP_040962719.1,699
XP_040962724.1,306
XP_040962805.1,262
XP_040962839.1,224
XP_040962840.1,200
XP_040963176.1,230
XP_040963689.1,292
XP_040963705.1,1083
XP_040963706.1,852
XP_040963725.1,262
XP_040963726.1,261
XP_040963925.1,106
XP_040964517.1,277
XP_040964566.1,327
XP_040964686.1,323
XP_040964700.1,436
XP_040964792.1,189
XP_040964825.1,387
XP_040964826.1,387
XP_040965513.1,290
XP_040965869.1,1524
XP_040965870.1,1482
XP_040966120.1,297
XP_040966121.1,297
XP_040966122.1,297
XP_040966123.1,297
XP_040966124.1,297
XP_040966125.1,297
XP_040967192.1,246
XP_040967305.1,356
XP_040967495.1,287
XP_040967496.1,287
XP_040967497.1,287
XP_040967498.1,287
XP_040967499.1,287
XP_040967501.1,287
XP_040967502.1,287
XP_040967503.1,287
XP_040967504.1,287
XP_040967505.1,287
XP_040967506.1,287
XP_040967507.1,287
XP_040967508.1,287
XP_040967509.1,287
XP_040968075.1,288
XP_040968235.1,556
XP_040968236.1,457
XP_040968880.1,1026
XP_040969445.1,360
XP_040970228.1,326
XP_040970435.1,555
XP_040970437.1,555
XP_040970438.1,555
XP_040970439.1,555
XP_040970440.1,519
XP_040970441.1,456
XP_040970772.1,273
XP_040971190.1,263
XP_040972393.1,79
XP_040972455.1,230
XP_040972867.1,221
XP_040973011.1,253
XP_040973079.1,274
XP_040973093.1,250
XP_040973410.1,457
XP_040973411.1,457
XP_040973412.1,418
XP_040973439.1,262
XP_040973499.1,247
XP_040973512.1,213
XP_040973598.1,228
XP_040973833.1,431
