gene_id	domain_count
XP_016700569.2	2
XP_016700570.2	2
XP_016700571.2	2
XP_016700885.1	2
XP_016701145.2	2
XP_016701413.1	2
XP_016701608.2	2
XP_016701634.1	2
XP_016701831.1	2
XP_016701990.1	2
XP_016702366.1	2
XP_016702373.2	2
XP_016702479.1	2
XP_016703354.1	2
XP_016703892.1	2
XP_016703974.1	2
XP_016704042.1	2
XP_016704052.1	2
XP_016704069.1	2
XP_016704130.2	3
XP_016704131.2	3
XP_016704152.1	2
XP_016704155.1	4
XP_016704185.1	2
XP_016704504.1	2
XP_016704515.1	3
XP_016704521.1	2
XP_016704525.1	2
XP_016704551.1	2
XP_016704621.1	2
XP_016704624.1	2
XP_016704629.2	2
XP_016705081.1	2
XP_016705082.1	2
XP_016705640.1	2
XP_016705641.1	2
XP_016706746.1	2
XP_016706798.1	2
XP_016707069.1	3
XP_016707070.1	3
XP_016707250.1	2
XP_016708004.1	2
XP_016708781.1	2
XP_016708816.2	1
XP_016708823.2	1
XP_016708829.2	1
XP_016708849.2	1
XP_016708850.1	2
XP_016708917.1	2
XP_016708918.1	2
XP_016708948.1	2
XP_016708949.1	2
XP_016708966.1	2
XP_016709104.2	3
XP_016709324.1	3
XP_016709326.1	2
XP_016709452.1	2
XP_016709501.1	1
XP_016709539.1	2
XP_016709584.1	2
XP_016709837.1	3
XP_016709838.1	3
XP_016709839.1	3
XP_016709948.2	2
XP_016710554.2	2
XP_016710877.1	2
XP_016711059.1	2
XP_016711418.1	2
XP_016711419.1	2
XP_016711527.1	2
XP_016711576.2	1
XP_016712287.2	2
XP_016712483.1	2
XP_016712484.1	2
XP_016712763.2	2
XP_016712792.2	3
XP_016712793.1	3
XP_016712924.2	2
XP_016713029.2	1
XP_016713230.2	2
XP_016713290.1	2
XP_016713294.2	2
XP_016713536.2	2
XP_016714191.2	2
XP_016714192.2	2
XP_016714474.1	2
XP_016714567.2	1
XP_016714569.2	1
XP_016714954.1	2
XP_016714997.2	2
XP_016715591.1	2
XP_016715626.2	2
XP_016715853.1	3
XP_016716084.1	3
XP_016716089.1	3
XP_016716195.1	2
XP_016716237.1	4
XP_016716637.1	2
XP_016716891.1	2
XP_016716893.1	2
XP_016716894.1	2
XP_016716909.2	2
XP_016716914.2	2
XP_016717140.1	2
XP_016717208.1	2
XP_016717616.2	2
XP_016717721.2	2
XP_016717753.2	2
XP_016718243.1	2
XP_016718249.1	2
XP_016718327.1	7
XP_016718328.1	7
XP_016718412.2	2
XP_016718570.1	2
XP_016718605.1	2
XP_016718745.1	1
XP_016718775.1	2
XP_016719337.2	2
XP_016719673.2	2
XP_016720794.1	2
XP_016721177.2	1
XP_016721289.1	2
XP_016721290.2	3
XP_016721315.1	3
XP_016721896.2	2
XP_016721959.1	2
XP_016722048.1	2
XP_016722049.1	2
XP_016722141.1	2
XP_016722142.1	2
XP_016722168.1	3
XP_016722658.1	2
XP_016722878.1	2
XP_016723002.1	3
XP_016723168.1	2
XP_016723513.1	2
XP_016723579.2	2
XP_016723612.1	2
XP_016724164.1	2
XP_016724845.2	2
XP_016724909.1	2
XP_016725018.2	2
XP_016725132.2	2
XP_016725568.1	2
XP_016725831.2	2
XP_016725886.1	2
XP_016726575.2	2
XP_016726578.1	2
XP_016726790.1	2
XP_016727107.1	2
XP_016727108.1	2
XP_016727477.2	2
XP_016727502.2	2
XP_016728091.2	2
XP_016728189.1	2
XP_016728597.1	2
XP_016728613.1	2
XP_016728651.1	2
XP_016728740.2	2
XP_016729230.1	2
XP_016729303.1	1
XP_016729529.1	3
XP_016729603.1	2
XP_016729808.1	2
XP_016730345.1	2
XP_016730511.1	6
XP_016730774.1	2
XP_016730953.1	2
XP_016731006.1	2
XP_016731212.1	2
XP_016731493.1	3
XP_016731763.1	2
XP_016732485.1	2
XP_016732693.1	2
XP_016733400.1	2
XP_016733884.2	2
XP_016734491.2	2
XP_016734652.2	2
XP_016734785.2	2
XP_016735782.1	2
XP_016735783.1	2
XP_016735784.1	2
XP_016735932.2	2
XP_016735933.2	2
XP_016735934.2	2
XP_016736198.2	3
XP_016736375.1	2
XP_016736944.1	2
XP_016736945.1	2
XP_016737404.1	2
XP_016737651.2	2
XP_016737655.1	2
XP_016737656.1	2
XP_016737657.1	2
XP_016737666.1	2
XP_016737751.1	1
XP_016737768.1	3
XP_016737773.1	3
XP_016738120.2	2
XP_016738141.1	2
XP_016738951.1	2
XP_016738956.2	3
XP_016739048.1	2
XP_016739049.1	2
XP_016739095.1	2
XP_016739176.1	2
XP_016739284.2	1
XP_016739399.1	3
XP_016739524.1	2
XP_016739556.1	2
XP_016740141.1	2
XP_016740344.1	1
XP_016740582.1	2
XP_016740583.1	2
XP_016740731.1	2
XP_016741249.1	2
XP_016741272.2	2
XP_016741305.1	2
XP_016741312.1	2
XP_016741798.1	2
XP_016742029.2	2
XP_016742154.2	2
XP_016742161.2	2
XP_016743321.1	2
XP_016743360.1	2
XP_016743496.1	2
XP_016743564.2	2
XP_016743613.2	2
XP_016743760.1	2
XP_016743792.1	2
XP_016744071.1	1
XP_016744073.1	1
XP_016744076.1	1
XP_016744077.1	1
XP_016744078.1	1
XP_016744742.2	4
XP_016744743.2	4
XP_016744798.2	2
XP_016744843.1	2
XP_016745045.1	2
XP_016745046.1	2
XP_016745174.1	2
XP_016745283.2	2
XP_016745431.1	2
XP_016745626.1	3
XP_016745627.1	2
XP_016745702.1	2
XP_016746012.1	2
XP_016746377.1	2
XP_016746411.1	2
XP_016746590.2	3
XP_016746591.2	3
XP_016746592.2	3
XP_016746593.2	3
XP_016746594.2	3
XP_016746595.2	3
XP_016746596.2	3
XP_016746598.2	2
XP_016746599.2	2
XP_016746699.1	2
XP_016747660.1	2
XP_016747675.1	2
XP_016747792.2	2
XP_016748042.2	2
XP_016748151.1	2
XP_016748196.2	2
XP_016748197.2	2
XP_016748198.2	2
XP_016748199.2	2
XP_016748200.2	2
XP_016748490.1	2
XP_016748813.1	2
XP_016748992.2	2
XP_016749184.1	2
XP_016749330.2	2
XP_016749598.1	2
XP_016749647.1	2
XP_016749648.1	2
XP_016749692.1	1
XP_016749852.1	2
XP_016750650.1	2
XP_016751105.1	2
XP_016751741.1	2
XP_016751956.1	2
XP_016752574.1	2
XP_016752886.1	2
XP_016752911.1	2
XP_016753002.1	2
XP_016753985.1	2
XP_016754751.1	1
XP_016754846.1	2
XP_016754944.2	2
XP_016755405.1	2
XP_016755472.1	3
XP_016755547.1	2
XP_016755977.1	2
XP_016755978.1	2
XP_040931009.1	2
XP_040931605.1	2
XP_040932430.1	2
XP_040932431.1	2
XP_040932433.1	2
XP_040932434.1	2
XP_040932435.1	2
XP_040932436.1	2
XP_040932437.1	2
XP_040932438.1	2
XP_040932439.1	2
XP_040932440.1	2
XP_040932441.1	2
XP_040932660.1	2
XP_040932745.1	3
XP_040932862.1	2
XP_040933229.1	3
XP_040933733.1	2
XP_040936033.1	2
XP_040936092.1	2
XP_040936104.1	2
XP_040936262.1	1
XP_040936485.1	1
XP_040936516.1	2
XP_040936545.1	2
XP_040936899.1	1
XP_040936953.1	1
XP_040936954.1	1
XP_040936955.1	1
XP_040936956.1	1
XP_040936957.1	1
XP_040936958.1	1
XP_040936959.1	1
XP_040936960.1	1
XP_040936961.1	1
XP_040937812.1	2
XP_040938084.1	2
XP_040938085.1	2
XP_040938775.1	2
XP_040938789.1	1
XP_040938790.1	1
XP_040938791.1	1
XP_040938792.1	1
XP_040938793.1	1
XP_040938794.1	1
XP_040938795.1	1
XP_040938796.1	1
XP_040938797.1	1
XP_040938798.1	1
XP_040938799.1	1
XP_040938800.1	1
XP_040938801.1	1
XP_040938802.1	1
XP_040938803.1	1
XP_040938804.1	1
XP_040938805.1	1
XP_040938806.1	1
XP_040938807.1	1
XP_040938808.1	1
XP_040938809.1	1
XP_040938810.1	1
XP_040938811.1	1
XP_040938812.1	1
XP_040938813.1	1
XP_040938814.1	1
XP_040938817.1	1
XP_040938818.1	1
XP_040938819.1	1
XP_040938820.1	1
XP_040938821.1	1
XP_040938825.1	2
XP_040939788.1	1
XP_040940404.1	2
XP_040940405.1	2
XP_040940406.1	2
XP_040940407.1	2
XP_040940870.1	2
XP_040940871.1	2
XP_040940872.1	2
XP_040940873.1	2
XP_040940874.1	2
XP_040940875.1	2
XP_040940876.1	2
XP_040940956.1	2
XP_040941005.1	2
XP_040941236.1	2
XP_040941737.1	2
XP_040941890.1	2
XP_040942068.1	2
XP_040942584.1	1
XP_040943455.1	2
XP_040944118.1	2
XP_040944162.1	2
XP_040944990.1	2
XP_040945844.1	2
XP_040946800.1	2
XP_040946801.1	2
XP_040946802.1	2
XP_040946803.1	2
XP_040946804.1	2
XP_040946805.1	2
XP_040946806.1	2
XP_040946807.1	2
XP_040946808.1	2
XP_040946809.1	2
XP_040947106.1	2
XP_040947107.1	2
XP_040947108.1	2
XP_040947109.1	2
XP_040947110.1	2
XP_040947820.1	2
XP_040948044.1	3
XP_040948862.1	2
XP_040949120.1	3
XP_040949121.1	3
XP_040950395.1	2
XP_040950420.1	2
XP_040950558.1	2
XP_040951818.1	2
XP_040952035.1	2
XP_040952036.1	3
XP_040952195.1	3
XP_040952376.1	2
XP_040952714.1	2
XP_040952964.1	2
XP_040952965.1	2
XP_040952975.1	2
XP_040953360.1	2
XP_040953871.1	2
XP_040953952.1	2
XP_040954217.1	2
XP_040954930.1	2
XP_040955220.1	3
XP_040955221.1	3
XP_040956171.1	2
XP_040956273.1	2
XP_040956288.1	2
XP_040956544.1	2
XP_040956545.1	2
XP_040956546.1	2
XP_040958464.1	2
XP_040958620.1	2
XP_040958638.1	2
XP_040958878.1	2
XP_040959468.1	2
XP_040959922.1	2
XP_040960044.1	2
XP_040960145.1	2
XP_040960281.1	2
XP_040960721.1	2
XP_040961005.1	2
XP_040961034.1	1
XP_040961228.1	1
XP_040961293.1	2
XP_040961294.1	2
XP_040961417.1	1
XP_040961905.1	1
XP_040961906.1	1
XP_040961907.1	1
XP_040961908.1	1
XP_040961909.1	1
XP_040961952.1	3
XP_040961953.1	3
XP_040961954.1	3
XP_040961955.1	3
XP_040962682.1	1
XP_040962683.1	1
XP_040962684.1	1
XP_040962685.1	1
XP_040962686.1	1
XP_040962687.1	1
XP_040962688.1	1
XP_040962689.1	1
XP_040962690.1	1
XP_040962691.1	1
XP_040962692.1	1
XP_040962693.1	1
XP_040962694.1	1
XP_040962695.1	1
XP_040962696.1	1
XP_040962697.1	1
XP_040962698.1	1
XP_040962699.1	1
XP_040962700.1	1
XP_040962701.1	1
XP_040962702.1	1
XP_040962703.1	1
XP_040962704.1	1
XP_040962705.1	1
XP_040962706.1	1
XP_040962710.1	1
XP_040962711.1	1
XP_040962712.1	1
XP_040962713.1	1
XP_040962714.1	1
XP_040962715.1	1
XP_040962716.1	1
XP_040962717.1	1
XP_040962719.1	1
XP_040962724.1	2
XP_040962805.1	2
XP_040962839.1	2
XP_040962840.1	2
XP_040963176.1	1
XP_040963689.1	2
XP_040963705.1	6
XP_040963706.1	7
XP_040963725.1	2
XP_040963726.1	2
XP_040963925.1	2
XP_040964517.1	3
XP_040964566.1	2
XP_040964686.1	2
XP_040964700.1	2
XP_040964792.1	2
XP_040964825.1	2
XP_040964826.1	2
XP_040965513.1	2
XP_040965869.1	2
XP_040965870.1	2
XP_040966120.1	2
XP_040966121.1	2
XP_040966122.1	2
XP_040966123.1	2
XP_040966124.1	2
XP_040966125.1	2
XP_040967192.1	2
XP_040967305.1	2
XP_040967495.1	2
XP_040967496.1	2
XP_040967497.1	2
XP_040967498.1	2
XP_040967499.1	2
XP_040967501.1	2
XP_040967502.1	2
XP_040967503.1	2
XP_040967504.1	2
XP_040967505.1	2
XP_040967506.1	2
XP_040967507.1	2
XP_040967508.1	2
XP_040967509.1	2
XP_040968075.1	2
XP_040968235.1	2
XP_040968236.1	2
XP_040968880.1	3
XP_040969445.1	2
XP_040970228.1	2
XP_040970435.1	2
XP_040970437.1	2
XP_040970438.1	2
XP_040970439.1	2
XP_040970440.1	2
XP_040970441.1	2
XP_040970772.1	2
XP_040971190.1	2
XP_040972393.1	2
XP_040972455.1	2
XP_040972867.1	2
XP_040973011.1	2
XP_040973079.1	2
XP_040973093.1	2
XP_040973410.1	1
XP_040973411.1	1
XP_040973412.1	1
XP_040973439.1	2
XP_040973499.1	2
XP_040973512.1	2
XP_040973598.1	2
XP_040973833.1	2
